"route.id","alpha","aristas caidas"
"10039",2.4,0
"10039",2.45,0
"10039",2.5,0
"10039",2.55,0
"10039",2.6,0
"10039",2.65,0
"10039",2.7,0
"10039",2.75,0
"10039",2.8,0
"10039",2.85,0
"10039",2.9,0
"10039",2.95,0
"10039",3,0
